회사명,종목코드,티커,시장구분,업종,주요제품,상장일,결산월,대표자,홈페이지,주소지,alias
엔솔바이오사이언스,140610,140610.KQ,KONEX,자연과학 및 공학 연구개발업,"퇴행성디스크 치료제, 골관절염 치료제, 동물용 골관절염 치료제",2018-09-10,12월,김해진,http://www.ensolbio.co.kr,대전광역시,엔솔바이오사이언스
엔시스,333620,333620.KQ,KOSDAQ,기타 전기장비 제조업,2차전지 머신비전 검사장비,2021-04-01,12월,진승언,http://www.n-sys.co.kr,충청남도,엔시스
엔시트론,101400,101400.KQ,KOSDAQ,반도체 제조업,디지털오디오앰프칩,2009-03-31,12월,정인견,http://www.neofidelity.com,서울특별시,엔시트론
엔씨소프트,36570,036570.KS,KOSPI,소프트웨어 개발 및 공급업,"인터넷머그게임(리니지),그룹웨어,인터넷커뮤니티 개발,유지,공급",2003-05-22,12월,"김택진, 박병무 (공동대표이사)",http://www.ncsoft.net,서울특별시,엔씨소프트
엔에스엠,238170,238170.KQ,KONEX,합성고무 및 플라스틱 물질 제조업,전도성 고분자 코팅 대전방지 필름,2019-12-26,12월,여건수,http://www.nsmcc.com,경기도,엔에스엠
엔에스이엔엠,78860,078860.KQ,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업",연예인 매니지먼트,2006-06-27,12월,고병철 (단독대표이사),http://www.iok.co.kr,서울특별시,엔에스이엔엠
엔에스컴퍼니,224760,224760.KQ,KONEX,토목 건설업,"산업플랜트 건설 및 경상정비, 자동차부품제조판매",2015-07-31,12월,이종화,http://www.nscompany.co.kr,충청남도,엔에스컴퍼니
엔에이치스팩24호,437780,437780.KQ,KOSDAQ,금융 지원 서비스업,기업인수합병,2022-10-20,12월,이인직,,서울특별시,엔에이치스팩24호
엔에이치스팩25호,438580,438580.KQ,KOSDAQ,금융 지원 서비스업,기업인수합병,2022-11-03,12월,경국현,,서울특별시,엔에이치스팩25호
엔에이치스팩26호,439410,439410.KQ,KOSDAQ,금융 지원 서비스업,기타 금융 지원 서비스업,2022-12-01,12월,이정석,,서울특별시,엔에이치스팩26호
엔에이치스팩27호,440820,440820.KQ,KOSDAQ,금융 지원 서비스업,기타 금융 지원 서비스업,2022-12-16,12월,정정한,,서울특별시,엔에이치스팩27호
엔에이치스팩29호,451700,451700.KQ,KOSDAQ,금융 지원 서비스업,금융 지원 서비스업,2023-06-23,12월,박준우,,서울특별시,엔에이치스팩29호
엔에이치스팩30호,466910,466910.KQ,KOSDAQ,금융 지원 서비스업,금융지원서비스업,2023-12-01,12월,조선희,,서울특별시,엔에이치스팩30호
엔에이치스팩31호,481890,481890.KQ,KOSDAQ,금융 지원 서비스업,금융지원서비스업,2024-07-26,12월,이시형,,서울특별시,엔에이치스팩31호
엔에이치엔,181710,181710.KS,KOSPI,소프트웨어 개발 및 공급업,한게임,2013-08-29,12월,정우진,http://www.nhn.com,경기도,엔에이치엔
엔에프씨,265740,265740.KQ,KOSDAQ,기타 화학제품 제조업,화장품 원료 제조 및 판매,2020-12-02,12월,김학철,http://nfccosmetics.co.kr,인천광역시,엔에프씨
엔젠바이오,354200,354200.KQ,KOSDAQ,"그외 기타 전문, 과학 및 기술 서비스업","유전체 분야 진단시약 제조 및 유전체 분야 소프트웨어 연구,개발,판매",2020-12-10,12월,최대출,http://ngenebio.com,서울특별시,엔젠바이오
엔젤로보틱스,455900,455900.KQ,KOSDAQ,특수 목적용 기계 제조업,"재활 전문 웨어러블 로봇, 근력 보조 무동력 웨어러블 슈트, 일상생활 보조 웨어러블 로봇 등",2024-03-26,12월,조남민 (단독대표),http://www.angel-robotics.com/ko,서울특별시,엔젤로보틱스
엔젯,419080,419080.KQ,KOSDAQ,특수 목적용 기계 제조업,"EHD 잉크젯 프린터, EHD 코터",2022-11-18,12월,변도영,http://enjet.co.kr,경기도,엔젯
엔지브이아이,93510,093510.KQ,KONEX,자동차 신품 부품 제조업,천연가스자동차용 연료저장장치 등,2019-09-30,12월,이여연,http://www.ngvi.co.kr,강원특별자치도,엔지브이아이
엔지스테크널러지,208860,208860.KQ,KOSDAQ,소프트웨어 개발 및 공급업,"Nav-Link 솔루션, BringGo 어플리케이션 등",2016-07-28,12월,이민호,http://www.engistech.com,서울특별시,엔지스테크널러지
엔지켐생명과학,183490,183490.KQ,KOSDAQ,기초 의약물질 제조업,"EC-18(신약), 원료의약품",2018-02-21,12월,손기영,http://www.enzychem.co.kr,충청북도,엔지켐생명과학
엔케이,85310,085310.KS,KOSPI,"구조용 금속제품, 탱크 및 증기발생기 제조업","고압가스용기,선박용,육상용 소화설비장치,천연가스이동식충전소 제조,도매",2008-01-24,12월,"천남주, 박제완",http://www.nkcf.com,부산광역시,엔케이
엔케이맥스,182400,182400.KQ,KOSDAQ,기초 의약물질 제조업,"연구용 시약, NK Vue® KIT, SuperNK",2015-10-23,12월,박상우,http://www.nkmax.com,경기도,엔케이맥스
